fact_id,tool_id,tool_name,vendor,field,value,status,quote,source_url,archive_url,fetched_at,page_dated,pages_checked,note
agiloft.pricing.seat_minimum,agiloft,Agiloft,"Agiloft, Inc.",pricing.seat_minimum,,not-found,,https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.security.audit_logs,agiloft,Agiloft,"Agiloft, Inc.",security.audit_logs,yes,stated,"""Event logging and system audit and monitoring procedures are in place to record access and system activity""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.security.cyber_essentials,agiloft,Agiloft,"Agiloft, Inc.",security.cyber_essentials,yes,stated,"""Agiloft maintains an information security management framework as required by all current certifications""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.security.data_residency,agiloft,Agiloft,"Agiloft, Inc.",security.data_residency,"[""United States"", ""European Union"", ""Australia"", ""UK"", ""Canada""]",stated,"""transferred to, processed, and stored in the United States, or for certain customers, the European Union, Australia, the UK, or Canada.""",https://www.agiloft.com/privacy-policy,http://web.archive.org/web/20260605160955/https://www.agiloft.com/privacy-policy/,2026-09-06,2026-02-06,,
agiloft.security.encryption_at_rest,agiloft,Agiloft,"Agiloft, Inc.",security.encryption_at_rest,yes,stated,"""Data is encrypted at rest with at least 256-bit encryption.""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.security.hipaa,agiloft,Agiloft,"Agiloft, Inc.",security.hipaa,yes,stated,"""offers full regulatory compliance with key standards such as SSAE 18, SOC 2 Type 2, HIPAA, and GDPR.""",https://www.agiloft.com/terms-policies/security,,2026-09-06,,,
agiloft.security.iso27001,agiloft,Agiloft,"Agiloft, Inc.",security.iso27001,yes,stated,"""With SOC 1, SOC 2, ISO 27001, and ISO 27701 certification, Agiloft’s customers can be confident that their data is secure.""",https://www.agiloft.com/terms-policies/security,,2026-09-06,,,
agiloft.security.iso27701,agiloft,Agiloft,"Agiloft, Inc.",security.iso27701,yes,stated,"""With SOC 1, SOC 2, ISO 27001, and ISO 27701 certification, Agiloft’s customers can be confident that their data is secure.""",https://www.agiloft.com/terms-policies/security,,2026-09-06,,,
agiloft.security.iso42001,agiloft,Agiloft,"Agiloft, Inc.",security.iso42001,,not-found,,https://www.agiloft.com/terms-policies/security,,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.security.no_training_on_customer_data,agiloft,Agiloft,"Agiloft, Inc.",security.no_training_on_customer_data,yes,stated,"""Customer Data is not used to train AI Applications or AI Models without Customer’s explicit prior written consent.""",https://www.agiloft.com/terms-policies/services-agreement,http://web.archive.org/web/20260315104123/https://www.agiloft.com/terms-policies/services-agreement/,2026-09-06,2026-07-22,,
agiloft.security.pen_test,agiloft,Agiloft,"Agiloft, Inc.",security.pen_test,yes,stated,"""Penetration tests are performed at least annually""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.security.private_deployment,agiloft,Agiloft,"Agiloft, Inc.",security.private_deployment,,not-found,,https://www.agiloft.com/terms-policies/security,,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.security.retention_period,agiloft,Agiloft,"Agiloft, Inc.",security.retention_period,policies reviewed regularly,stated,"""Data retention policies are in place to comply with applicable laws and are reviewed regularly.""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.security.soc2,agiloft,Agiloft,"Agiloft, Inc.",security.soc2,yes,stated,"""With SOC 1, SOC 2, ISO 27001, and ISO 27701 certification, Agiloft’s customers can be confident that their data is secure.""",https://www.agiloft.com/terms-policies/security,,2026-09-06,,,
agiloft.security.sso_saml,agiloft,Agiloft,"Agiloft, Inc.",security.sso_saml,,not-found,,https://www.agiloft.com/terms-policies/security,,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.security.zero_retention,agiloft,Agiloft,"Agiloft, Inc.",security.zero_retention,,not-found,,https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
alexi.accuracy.claim,alexi,Alexi,Alexi Technologies Inc.,accuracy.claim,Tied for #1 in single-jurisdiction legal analysis accuracy,stated,"""Tied for #1 in single-jurisdiction legal analysis accuracy, independently verified by VALS.""",https://www.alexi.com/,http://web.archive.org/web/20260812032057/https://www.alexi.com/,2026-09-06,,,
alexi.accuracy.method_published,alexi,Alexi,Alexi Technologies Inc.,accuracy.method_published,no,not-found,,https://www.alexi.com/,http://web.archive.org/web/20260812032057/https://www.alexi.com/,2026-09-06,,"[""https://www.alexi.com/"", ""https://www.alexi.com/security"", ""https://www.alexi.com/faqs"", ""https://www.alexi.com/platform-faq"", ""https://www.alexi.com/terms-of-service"", ""https://www.alexi.com/privacy-policy"", ""https://www.alexi.com/data-processing-addendum"", ""https://www.alexi.com/ai-engine/private-environment"", ""https://www.alexi.com/ai-engine/deployment-options"", ""https://www.alexi.com/ai-engine/extensive-integrations""]",
alexi.accuracy.third_party_evaluation,alexi,Alexi,Alexi Technologies Inc.,accuracy.third_party_evaluation,"VALS AI, 2025",stated,"""Rated #1 in legal AI accuracy — VALS AI, 2025""",https://www.alexi.com/ai-engine/private-environment,http://web.archive.org/web/20260607233619/https://www.alexi.com/ai-engine/private-environment,2026-09-06,,,
alexi.contract.dpa_available,alexi,Alexi,Alexi Technologies Inc.,contract.dpa_available,yes,implied,"""Data Processing Addendum""",https://www.alexi.com/data-processing-addendum,http://web.archive.org/web/20260414200914/https://www.alexi.com/data-processing-addendum,2026-09-06,,,
alexi.contract.model_providers,alexi,Alexi,Alexi Technologies Inc.,contract.model_providers,,not-found,,https://www.alexi.com/faqs,http://web.archive.org/web/20260418134220/https://www.alexi.com/faqs,2026-09-06,,"[""https://www.alexi.com/"", ""https://www.alexi.com/security"", ""https://www.alexi.com/faqs"", ""https://www.alexi.com/platform-faq"", ""https://www.alexi.com/terms-of-service"", ""https://www.alexi.com/privacy-policy"", ""https://www.alexi.com/data-processing-addendum"", ""https://www.alexi.com/ai-engine/private-environment"", ""https://www.alexi.com/ai-engine/deployment-options"", ""https://www.alexi.com/ai-engine/extensive-integrations""]",
alexi.contract.privacy_last_updated,alexi,Alexi,Alexi Technologies Inc.,contract.privacy_last_updated,,not-found,,https://www.alexi.com/privacy-policy,https://web.archive.org/web/20260906070303/https://www.alexi.com/privacy-policy,2026-09-06,,"[""https://www.alexi.com/"", ""https://www.alexi.com/security"", ""https://www.alexi.com/faqs"", ""https://www.alexi.com/platform-faq"", ""https://www.alexi.com/terms-of-service"", ""https://www.alexi.com/privacy-policy"", ""https://www.alexi.com/data-processing-addendum"", ""https://www.alexi.com/ai-engine/private-environment"", ""https://www.alexi.com/ai-engine/deployment-options"", ""https://www.alexi.com/ai-engine/extensive-integrations""]",
alexi.contract.subprocessors_published,alexi,Alexi,Alexi Technologies Inc.,contract.subprocessors_published,,not-found,,https://www.alexi.com/data-processing-addendum,http://web.archive.org/web/20260414200914/https://www.alexi.com/data-processing-addendum,2026-09-06,,"[""https://www.alexi.com/"", ""https://www.alexi.com/security"", ""https://www.alexi.com/faqs"", ""https://www.alexi.com/platform-faq"", ""https://www.alexi.com/terms-of-service"", ""https://www.alexi.com/privacy-policy"", ""https://www.alexi.com/data-processing-addendum"", ""https://www.alexi.com/ai-engine/private-environment"", ""https://www.alexi.com/ai-engine/deployment-options"", ""https://www.alexi.com/ai-engine/extensive-integrations""]",DPA path only rendered a title; no public subprocessor list found.
alexi.contract.terms_last_updated,alexi,Alexi,Alexi Technologies Inc.,contract.terms_last_updated,2024-11-20,stated,"""Last Updated: [November 20th, 2024]""",https://www.alexi.com/terms-of-service,http://web.archive.org/web/20260420103340/https://www.alexi.com/terms-of-service,2026-09-06,2024-11-20,,
alexi.pricing.free_trial,alexi,Alexi,Alexi Technologies Inc.,pricing.free_trial,guided trial,stated,"""Start Your Guided Trial""",https://www.alexi.com/,http://web.archive.org/web/20260812032057/https://www.alexi.com/,2026-09-06,,,
alexi.pricing.list_price,alexi,Alexi,Alexi Technologies Inc.,pricing.list_price,,not-found,,https://www.alexi.com/faqs,http://web.archive.org/web/20260418134220/https://www.alexi.com/faqs,2026-09-06,,"[""https://www.alexi.com/"", ""https://www.alexi.com/security"", ""https://www.alexi.com/faqs"", ""https://www.alexi.com/platform-faq"", ""https://www.alexi.com/terms-of-service"", ""https://www.alexi.com/privacy-policy"", ""https://www.alexi.com/data-processing-addendum"", ""https://www.alexi.com/ai-engine/private-environment"", ""https://www.alexi.com/ai-engine/deployment-options"", ""https://www.alexi.com/ai-engine/extensive-integrations""]",
